CardID,TerminalID,Amount,Balance,Remaining,Validity,Date,CardType,CardLimit,CardLocation,TerminalType,TerminalLocation,MerchantName
9,83,5013,1000,1000,0,2018-06-15 15:20:21.749,Debit,1000,62,POS,Internet,E
5,83,5005,1000,1000,0,2018-06-15 15:30:21.749,Debit,1000,44,POS,Internet,E
8,3,5007,10000,4993,1,2018-06-15 15:30:21.749,Credit,10000,58,ATM,3,C
7,83,5005,10000,4995,1,2018-06-15 15:30:21.749,Credit,10000,57,POS,Internet,E
4,83,5008,30000,24992,1,2018-06-15 15:32:01.749,Credit,30000,30,POS,Internet,E
5,83,5005,1000,1000,0,2018-06-15 15:32:01.749,Debit,1000,44,POS,Internet,E
0,83,5005,1000,1000,0,2018-06-15 15:50:21.749,Debit,1000,79,POS,Internet,E
8,3,4995,4993,4993,0,2018-06-15 15:50:21.749,Credit,10000,58,ATM,3,C
3,83,5003,20000,14997,1,2018-06-15 15:50:21.749,Credit,20000,69,POS,Internet,E
8,83,5015,4993,4993,0,2018-06-15 15:50:21.749,Credit,10000,58,POS,Internet,E
1,83,5004,1000,1000,0,2018-06-15 15:50:21.749,Debit,1000,24,POS,Internet,E
1,83,5004,1000,1000,0,2018-06-15 15:52:01.749,Debit,1000,24,POS,Internet,E
9,83,5005,1000,1000,0,2018-06-15 15:52:01.749,Debit,1000,62,POS,Internet,E
7,83,5008,4995,4995,0,2018-06-15 15:52:01.749,Credit,10000,57,POS,Internet,E
6,4,4999,20000,15001,1,2018-06-15 15:52:01.749,Credit,20000,31,ATM,4,B
2,83,5008,1000,1000,0,2018-06-15 15:52:01.749,Debit,1000,11,POS,Internet,E
8,4,5019,4993,4993,0,2018-06-15 15:52:01.749,Credit,10000,58,ATM,4,B
6,2,5006,15001,9995,1,2018-06-15 15:52:01.749,Credit,20000,31,ATM,2,A
6,2,5009,9995,4986,1,2018-06-15 15:52:01.749,Credit,20000,31,ATM,2,A
8,3,5001,4993,4993,0,2018-06-15 15:53:41.749,Credit,10000,58,ATM,3,C
0,3,5006,1000,1000,0,2018-06-15 15:53:41.749,Debit,1000,79,ATM,3,C
2,83,5000,1000,1000,0,2018-06-15 15:52:01.749,Debit,1000,11,POS,Internet,E
0,3,5003,1000,1000,0,2018-06-15 15:55:21.749,Debit,1000,79,ATM,3,C
2,83,5008,1000,1000,0,2018-06-15 15:55:21.749,Debit,1000,11,POS,Internet,E
0,3,5008,1000,1000,0,2018-06-15 15:55:21.749,Debit,1000,79,ATM,3,C
1,83,5005,1000,1000,0,2018-06-15 15:55:21.749,Debit,1000,24,POS,Internet,E
0,3,5003,1000,1000,0,2018-06-15 15:55:21.749,Debit,1000,79,ATM,3,C
1,83,5005,1000,1000,0,2018-06-15 15:55:21.749,Debit,1000,24,POS,Internet,E
1,83,5002,1000,1000,0,2018-06-15 15:55:21.749,Debit,1000,24,POS,Internet,E
2,84,5008,1000,1000,0,2018-06-15 15:55:21.749,Debit,1000,11,POS,Internet,B
1,83,5008,1000,1000,0,2018-06-15 15:55:21.749,Debit,1000,24,POS,Internet,E
6,82,5016,4986,4986,0,2018-06-15 15:55:21.749,Credit,20000,31,POS,Internet,A
1,83,5007,1000,1000,0,2018-06-15 15:55:21.749,Debit,1000,24,POS,Internet,E
6,82,5006,4986,4986,0,2018-06-15 15:57:01.749,Credit,20000,31,POS,Internet,A
6,83,5011,4986,4986,0,2018-06-15 15:57:01.749,Credit,20000,31,POS,Internet,E
6,3,4993,4986,4986,0,2018-06-15 15:57:01.749,Credit,20000,31,ATM,3,C
3,83,5009,14997,9988,1,2018-06-15 15:57:01.749,Credit,20000,69,POS,Internet,E
2,3,5005,1000,1000,0,2018-06-15 15:57:01.749,Debit,1000,11,ATM,3,C
5,83,4999,1000,1000,0,2018-06-15 15:57:01.749,Debit,1000,44,POS,Internet,E
4,2,5003,24992,19989,1,2018-06-15 15:57:01.749,Credit,30000,30,ATM,2,A
5,83,5014,1000,1000,0,2018-06-15 15:57:01.749,Debit,1000,44,POS,Internet,E
7,83,5012,4995,4995,0,2018-06-15 15:57:01.749,Credit,10000,57,POS,Internet,E
4,83,5001,19989,14988,1,2018-06-15 15:57:01.749,Credit,30000,30,POS,Internet,E
1,83,5007,1000,1000,0,2018-06-15 15:58:41.749,Debit,1000,24,POS,Internet,E
1,83,5002,1000,1000,0,2018-06-15 15:58:41.749,Debit,1000,24,POS,Internet,E
1,83,5004,1000,1000,0,2018-06-15 15:58:41.749,Debit,1000,24,POS,Internet,E
0,2,5005,1000,1000,0,2018-06-15 16:18:41.749,Debit,1000,79,ATM,2,A
8,83,4999,4993,4993,0,2018-06-15 16:20:21.749,Credit,10000,58,POS,Internet,E
8,4,5018,4993,4993,0,2018-06-15 16:20:21.749,Credit,10000,58,ATM,4,B
9,83,5023,1000,1000,0,2018-06-15 16:20:21.749,Debit,1000,62,POS,Internet,E
6,4,4998,4986,4986,0,2018-06-15 16:22:01.749,Credit,20000,31,ATM,4,B
9,83,5006,1000,1000,0,2018-06-15 16:22:01.749,Debit,1000,62,POS,Internet,E
9,83,5002,1000,1000,0,2018-06-15 16:22:01.749,Debit,1000,62,POS,Internet,E
6,3,5003,4986,4986,0,2018-06-15 16:22:01.749,Credit,20000,31,ATM,3,C
8,2,5007,4993,4993,0,2018-06-15 16:22:01.749,Credit,10000,58,ATM,2,A
0,83,5003,1000,1000,0,2018-06-15 16:22:01.749,Debit,1000,79,POS,Internet,E
2,3,5007,1000,1000,0,2018-06-15 16:22:01.749,Debit,1000,11,ATM,3,C
6,82,5000,4986,4986,0,2018-06-15 16:22:01.749,Credit,20000,31,POS,Internet,A
2,82,5004,1000,1000,0,2018-06-15 16:22:01.749,Debit,1000,11,POS,Internet,A
2,83,5009,1000,1000,0,2018-06-15 16:22:01.749,Debit,1000,11,POS,Internet,E
0,82,5005,1000,1000,0,2018-06-15 16:23:41.749,Debit,1000,79,POS,Internet,A
6,83,5004,4986,4986,0,2018-06-15 16:23:41.749,Credit,20000,31,POS,Internet,E
4,82,5000,14988,9988,1,2018-06-15 16:23:41.749,Credit,30000,30,POS,Internet,A
6,82,5002,4986,4986,0,2018-06-15 16:23:41.749,Credit,20000,31,POS,Internet,A
4,82,5008,9988,4980,1,2018-06-15 16:25:21.749,Credit,30000,30,POS,Internet,A
2,82,4997,1000,1000,0,2018-06-15 16:25:21.749,Debit,1000,11,POS,Internet,A
6,82,4998,4986,4986,0,2018-06-15 16:25:21.749,Credit,20000,31,POS,Internet,A
6,1,5015,4986,4986,0,2018-06-15 16:25:21.749,Credit,20000,31,ATM,1,A
4,4,5007,4980,4980,0,2018-06-15 16:25:21.749,Credit,30000,30,ATM,4,B
6,2,4999,4986,4986,0,2018-06-15 16:27:01.749,Credit,20000,31,ATM,2,A
6,82,5019,4986,4986,0,2018-06-15 16:27:01.749,Credit,20000,31,POS,Internet,A
0,3,5005,1000,1000,0,2018-06-15 16:22:01.749,Debit,1000,79,ATM,3,C
