CardID,TerminalID,Amount,Balance,Remaining,Validity,Date,CardType,CardLimit,CardLocation,TerminalType,TerminalLocation,MerchantName
73,108,1000,5000,4000,1,2018-06-09 23:27:09.135,Credit,5000,74,POS,Internet,B
69,112,1000,1000,0,1,2018-06-09 23:45:29.135,Debit,1000,75,POS,Internet,A
97,168,1000,1000,0,1,2018-06-10 00:22:09.135,Debit,1000,31,POS,Internet,A
63,178,100,1000,900,1,2018-06-10 01:23:49.135,Debit,1000,26,POS,Internet,E
6,29,1000,20000,19000,1,2018-06-10 01:38:49.135,Credit,20000,6,ATM,29,C
99,101,100,20000,19900,1,2018-06-10 02:32:09.135,Credit,20000,56,POS,Internet,E
84,177,1000,5000,4000,1,2018-06-10 03:18:49.135,Credit,5000,2,POS,Internet,A
32,21,100,1000,900,1,2018-06-10 10:48:49.135,Debit,1000,45,ATM,21,A
52,40,100,1000,900,1,2018-06-10 14:10:29.135,Debit,1000,11,ATM,40,E
20,131,100,30000,29900,1,2018-06-10 14:42:09.135,Credit,30000,69,POS,Internet,C
36,81,100,1000,900,1,2018-06-10 15:32:09.135,Debit,1000,6,POS,Internet,B
24,77,1000,1000,0,1,2018-06-10 15:50:29.135,Debit,1000,39,ATM,77,B
79,97,10000,20000,10000,1,2018-06-10 18:53:49.135,Credit,20000,21,POS,Internet,C
93,96,1000,5000,4000,1,2018-06-10 18:53:49.135,Credit,5000,11,POS,Internet,A
74,32,100,1000,900,1,2018-06-11 03:45:29.135,Debit,1000,50,ATM,32,A
17,80,1000,10000,9000,1,2018-06-11 09:03:49.135,Credit,10000,46,ATM,International,A
9,181,100,5000,4900,1,2018-06-11 11:47:09.135,Credit,5000,67,POS,Internet,D
0,32,100,10000,9900,1,2018-06-11 17:03:49.135,Credit,10000,42,ATM,32,A
4,20,1000,1000,0,1,2018-06-11 20:43:49.135,Debit,1000,19,ATM,20,B
83,8,100,20000,19900,1,2018-06-11 22:57:09.135,Credit,20000,9,ATM,8,E
24,174,10000,1000,1000,0,2018-06-12 05:50:29.135,Debit,1000,39,POS,Internet,A
78,55,100,1000,900,1,2018-06-12 13:55:29.135,Debit,1000,7,ATM,55,C
