CardID,TerminalID,Amount,Balance,Remaining,Validity,Date
1,0,100,1000,900,1,231749
2,82,100,5000,4900,1,231749
6,0,10000,5000,5000,0,231749
7,82,10000,5000,5000,0,231749
2,0,10000,4900,4900,0,231749
7,82,100,5000,4900,1,231749
3,0,1000,20000,19000,1,231749
3,82,100,19000,18900,1,231749
1,0,100,900,800,1,231749
3,82,10000,18900,8900,1,231749
0,0,1000,5000,4000,1,231749
0,82,100,4000,3900,1,231749
1,81,1000,800,800,0,231749
0,0,1000,3900,2900,1,231749
1,81,100,800,700,1,231749
2,82,10000,4900,4900,0,231749
9,0,100,1000,900,1,231749
0,82,10000,2900,2900,0,231749
2,81,1000,4900,3900,1,231749
6,0,100,5000,4900,1,231749
7,81,10000,4900,4900,0,231749
8,0,1000,1000,0,1,231749
5,83,100,10000,9900,1,231749
4,0,10000,1000,1000,0,231749
6,83,1000,4900,3900,1,231749
2,83,10000,3900,3900,0,231749
7,83,10000,4900,4900,0,231749
1,83,1000,700,700,0,231749
0,83,1000,2900,1900,1,231749
9,83,1000,900,900,0,231749
9,83,10000,900,900,0,231749
9,83,100,900,800,1,231749
9,83,10000,800,800,0,231749
4,83,1000,1000,0,1,231749
4,83,1000,0,0,0,231749
9,81,1000,800,800,0,231750
8,82,100,0,0,0,231750
8,83,10000,0,0,0,231750
5,82,100,9900,9800,1,231750
4,82,100,0,0,0,231750
1,81,10000,700,700,0,231750
8,82,1000,0,0,0,231750
9,82,10000,800,800,0,231750
8,81,10000,0,0,0,231750
8,81,100,0,0,0,231750
9,82,1000,800,800,0,231750
0,81,100,1900,1800,1,231750
8,83,1000,0,0,0,231750
6,82,10000,3900,3900,0,231750
9,81,1000,800,800,0,231750
9,83,100,800,700,1,231750
2,82,1000,3900,2900,1,231750
4,81,10000,0,0,0,231750
0,0,100,1800,1700,1,231750
9,0,10000,700,700,0,231750
1,82,1000,700,700,0,231750
9,82,10000,700,700,0,231750
6,83,10000,3900,3900,0,231750
7,0,1000,4900,3900,1,231750
4,83,100,0,0,0,231750
7,0,1000,3900,2900,1,231750
1,83,10000,700,700,0,231750
6,0,1000,3900,2900,1,231750
5,83,10000,9800,9800,0,231750
3,83,100,8900,8800,1,231750
4,0,100,0,0,0,231750
3,81,10000,8800,8800,0,231750
2,0,1000,2900,1900,1,231750
5,0,1000,9800,8800,1,231750
3,0,10000,8800,8800,0,231750
3,0,100,8800,8700,1,231750
3,0,100,8700,8600,1,231750
2,81,10000,1900,1900,0,231759
7,0,10000,2900,2900,0,231759
8,83,1000,0,0,0,231759
3,82,100,8600,8500,1,231759
0,81,1000,1700,700,1,231759
5,0,100,8800,8700,1,231759
1,83,10000,700,700,0,231759
7,81,100,2900,2800,1,231759
4,81,10000,0,0,0,231759
9,83,10000,700,700,0,231759
7,82,10000,2800,2800,0,231759
9,82,1000,700,700,0,231759
2,0,100,1900,1800,1,231759
0,82,100,700,600,1,231759
8,81,100,0,0,0,231759
3,0,10000,8500,8500,0,231759
5,83,1000,8700,7700,1,231759
5,0,1000,7700,6700,1,231759
6,83,10000,2900,2900,0,231759
8,81,100,0,0,0,231759
0,0,100,600,500,1,231759
6,0,100,2900,2800,1,231759
9,83,10000,700,700,0,231759
1,0,1000,700,700,0,231759
0,82,100,500,400,1,231759
4,82,1000,0,0,0,231759
1,82,100,700,600,1,231759
7,81,10000,2800,2800,0,231759
