CardID,TerminalID,Amount,Balance,Remaining,Validity,Date,CardType,CardLimit,CardLocation,TerminalType,TerminalLocation,MerchantName,NoFraud
55,2,5000,30000,25000,1,2018-06-10 14:04:28.779,Credit,30000,65,ATM,2,D,0
34,83,3000,5000,2000,1,2018-06-10 14:41:08.779,Credit,5000,43,POS,Internet,A,0
89,82,12000,1000,1000,0,2018-06-10 16:04:28.779,Debit,1000,23,POS,Internet,D,0
60,3,3000,1000,1000,0,2018-06-10 19:24:28.779,Debit,1000,53,ATM,3,D,1
16,82,500,1000,500,1,2018-06-10 21:21:08.779,Debit,1000,59,POS,Internet,D,0
68,81,10000,1000,1000,0,2018-06-10 23:19:28.779,Debit,1000,30,POS,Internet,A,0
56,85,12000,1000,1000,0,2018-06-11 00:09:28.779,Debit,1000,66,POS,Internet,E,0
26,0,12000,1000,1000,0,2018-06-11 00:22:48.779,Debit,1000,77,ATM,0,C,0
62,83,4000,1000,1000,0,2018-06-11 01:01:08.779,Debit,1000,63,POS,Internet,A,0
69,81,10000,5000,5000,0,2018-06-11 01:31:08.779,Credit,5000,73,POS,Internet,A,0
72,2,5000,20000,15000,1,2018-06-11 02:22:48.779,Credit,20000,34,ATM,2,D,0
70,82,100,1000,900,1,2018-06-11 02:39:28.779,Debit,1000,64,POS,Internet,D,0
49,82,10000,1000,1000,0,2018-06-11 03:59:28.779,Debit,1000,1,POS,Internet,D,0
38,84,5000,1000,1000,0,2018-06-11 04:06:08.779,Debit,1000,41,POS,Internet,E,1
72,0,10000,15000,5000,1,2018-06-11 04:17:48.779,Credit,20000,34,ATM,0,C,0
72,84,100,5000,4900,1,2018-06-11 04:36:08.779,Credit,20000,34,POS,Internet,E,0
93,3,5000,1000,1000,0,2018-06-11 04:51:08.779,Debit,1000,67,ATM,3,D,1
71,4,12000,1000,1000,0,2018-06-11 05:41:08.779,Debit,1000,7,ATM,4,B,0
95,84,4000,1000,1000,0,2018-06-11 07:02:48.779,Debit,1000,2,POS,Internet,E,0
57,82,2000,20000,18000,1,2018-06-11 07:19:28.779,Credit,20000,79,POS,Internet,D,0
12,1,1000,30000,29000,1,2018-06-11 07:54:28.779,Credit,30000,15,ATM,1,B,0
50,2,5000,1000,1000,0,2018-06-11 07:54:28.779,Debit,1000,15,ATM,2,D,1
8,3,10000,1000,1000,0,2018-06-11 08:09:28.779,Debit,1000,44,ATM,3,D,1
99,85,1000,1000,0,1,2018-06-11 08:42:48.779,Debit,1000,67,POS,Internet,E,1
80,84,1000,1000,0,1,2018-06-11 09:49:28.779,Debit,1000,2,POS,Internet,E,0
93,83,5000,1000,1000,0,2018-06-11 10:06:08.779,Debit,1000,67,POS,Internet,A,1
47,2,2000,1000,1000,0,2018-06-11 11:17:48.779,Debit,1000,64,ATM,2,D,1
69,4,10000,5000,5000,0,2018-06-11 11:29:28.779,Credit,5000,73,ATM,4,B,1
71,1,500,1000,500,1,2018-06-11 12:36:08.779,Debit,1000,7,ATM,1,B,0
42,2,3000,1000,1000,0,2018-06-11 13:26:08.779,Debit,1000,6,ATM,2,D,1
9,83,1000,5000,4000,1,2018-06-11 16:47:48.779,Credit,5000,60,POS,Internet,A,1
95,2,500,1000,500,1,2018-06-11 16:47:48.779,Debit,1000,2,ATM,2,D,1
30,2,12000,1000,1000,0,2018-06-11 17:56:08.779,Debit,1000,31,ATM,2,D,0
96,2,3000,1000,1000,0,2018-06-11 19:49:28.779,Debit,1000,15,ATM,2,D,1
58,82,10000,1000,1000,0,2018-06-11 20:24:28.779,Debit,1000,27,POS,Internet,D,0
28,81,7000,30000,23000,1,2018-06-11 22:37:48.779,Credit,30000,18,POS,Internet,A,1
12,84,2000,29000,27000,1,2018-06-11 23:11:08.779,Credit,30000,15,POS,Internet,E,1
35,83,12000,5000,5000,0,2018-06-12 01:41:08.779,Credit,5000,48,POS,Internet,A,1
67,83,1000,1000,0,1,2018-06-12 05:02:48.779,Debit,1000,41,POS,Internet,A,1
43,3,500,1000,500,1,2018-06-12 05:19:28.779,Debit,1000,26,ATM,3,D,1
74,3,12000,10000,10000,0,2018-06-12 09:09:28.779,Credit,10000,58,ATM,3,D,1
0,82,4000,1000,1000,0,2018-06-12 09:29:28.779,Debit,1000,33,POS,Internet,D,1
87,0,2000,1000,1000,0,2018-06-12 11:26:08.779,Debit,1000,51,ATM,0,C,1
77,81,10000,20000,10000,1,2018-06-12 11:57:48.779,Credit,20000,10,POS,Internet,A,0
79,1,1000,10000,9000,1,2018-06-12 20:01:08.779,Credit,10000,40,ATM,1,B,1
1,3,1000,5000,4000,1,2018-06-13 01:01:08.779,Credit,5000,9,ATM,3,D,1
20,81,5000,5000,0,1,2018-06-13 03:32:48.779,Credit,5000,1,POS,Internet,A,0
66,2,100,5000,4900,1,2018-06-13 03:49:28.779,Credit,5000,50,ATM,2,D,0
7,81,500,20000,19500,1,2018-06-13 07:07:48.779,Credit,20000,15,POS,Internet,A,0
18,0,10000,10000,0,1,2018-06-13 07:26:08.779,Credit,10000,54,ATM,0,C,1
62,82,500,1000,500,1,2018-06-13 07:56:08.779,Debit,1000,63,POS,Internet,D,0
2,85,10000,1000,1000,0,2018-06-13 10:31:08.779,Debit,1000,21,POS,Internet,E,0
73,1,10000,1000,1000,0,2018-06-13 14:56:08.779,Debit,1000,53,ATM,1,B,1
77,2,5000,10000,5000,1,2018-06-13 15:29:28.779,Credit,20000,10,ATM,2,D,1
35,1,1000,5000,4000,1,2018-06-14 08:59:28.779,Credit,5000,48,ATM,1,B,1
68,2,7000,1000,1000,0,2018-06-14 10:21:08.779,Debit,1000,30,ATM,2,D,1
29,82,10000,5000,5000,0,2018-06-14 11:59:28.779,Credit,5000,32,POS,Internet,D,1
57,84,7000,18000,11000,1,2018-06-14 12:19:28.779,Credit,20000,79,POS,Internet,E,1
29,3,3000,5000,2000,1,2018-06-14 16:12:48.779,Credit,5000,32,ATM,3,D,1
49,3,12000,1000,1000,0,2018-06-14 18:06:08.779,Debit,1000,1,ATM,3,D,0
75,0,5000,20000,15000,1,2018-06-14 19:31:08.779,Credit,20000,67,ATM,0,C,1
49,84,10000,1000,1000,0,2018-06-15 08:34:28.779,Debit,1000,1,POS,Internet,E,0
33,85,2000,1000,1000,0,2018-06-15 10:47:48.779,Debit,1000,56,POS,Internet,E,1
56,2,100,1000,900,1,2018-06-15 12:12:48.779,Debit,1000,66,ATM,2,D,1
93,81,2000,1000,1000,0,2018-06-15 13:52:48.779,Debit,1000,67,POS,Internet,A,1
56,81,10000,900,900,0,2018-06-15 14:24:28.779,Debit,1000,66,POS,Internet,A,0
24,85,10000,5000,5000,0,2018-06-15 20:14:28.779,Credit,5000,38,POS,Internet,E,0
36,84,2000,1000,1000,0,2018-06-15 21:39:28.779,Debit,1000,68,POS,Internet,E,0
71,1,1000,1000,0,1,2018-06-15 22:44:28.779,Debit,1000,7,ATM,1,B,1
91,85,2000,1000,1000,0,2018-06-15 23:34:28.779,Debit,1000,79,POS,Internet,E,1
83,2,3000,1000,1000,0,2018-06-18 15:11:08.779,Debit,1000,27,ATM,2,D,1
26,83,2000,1000,1000,0,2018-06-18 15:44:28.779,Debit,1000,77,POS,Internet,A,1
78,83,1000,5000,4000,1,2018-06-18 20:46:08.779,Credit,5000,6,POS,Internet,A,1
93,4,500,1000,500,1,2018-06-19 01:12:48.779,Debit,1000,67,ATM,4,B,1
67,84,2000,1000,1000,0,2018-06-19 02:01:08.779,Debit,1000,41,POS,Internet,E,0
45,83,7000,1000,1000,0,2018-06-19 02:32:48.779,Debit,1000,21,POS,Internet,A,1
54,1,2000,5000,3000,1,2018-06-19 02:52:48.779,Credit,5000,69,ATM,1,B,1
5,81,12000,5000,5000,0,2018-06-19 03:22:48.779,Credit,5000,12,POS,Internet,A,0
16,84,4000,1000,1000,0,2018-06-19 05:02:48.779,Debit,1000,59,POS,Internet,E,1
54,83,7000,3000,3000,0,2018-06-19 06:44:28.779,Credit,5000,69,POS,Internet,A,1
68,4,7000,1000,1000,0,2018-06-19 08:42:48.779,Debit,1000,30,ATM,4,B,1
73,81,1000,1000,0,1,2018-06-19 22:32:48.779,Debit,1000,53,POS,Internet,A,0
84,82,10000,10000,0,1,2018-06-19 22:51:08.779,Credit,10000,79,POS,Internet,D,0
97,83,3000,10000,7000,1,2018-06-20 00:16:08.779,Credit,10000,29,POS,Internet,A,1
96,3,500,1000,500,1,2018-06-20 02:42:48.779,Debit,1000,15,ATM,3,D,1
53,82,4000,10000,6000,1,2018-06-20 04:41:08.779,Credit,10000,25,POS,Internet,D,0
50,85,7000,1000,1000,0,2018-06-20 05:12:48.779,Debit,1000,15,POS,Internet,E,1
80,0,1000,1000,0,1,2018-06-20 08:17:48.779,Debit,1000,2,ATM,0,C,0
98,85,1000,1000,0,1,2018-06-20 09:26:08.779,Debit,1000,39,POS,Internet,E,0
73,85,4000,1000,1000,0,2018-06-20 10:17:48.779,Debit,1000,53,POS,Internet,E,0
21,81,100,1000,900,1,2018-06-20 12:11:08.779,Debit,1000,77,POS,Internet,A,0
51,84,5000,5000,0,1,2018-06-20 12:44:28.779,Credit,5000,18,POS,Internet,E,0
23,84,100,1000,900,1,2018-06-20 13:16:08.779,Debit,1000,25,POS,Internet,E,1
90,83,10000,1000,1000,0,2018-06-20 14:39:28.779,Debit,1000,41,POS,Internet,A,1
71,82,7000,1000,1000,0,2018-06-22 04:46:08.779,Debit,1000,7,POS,Internet,D,0
35,82,500,4000,3500,1,2018-06-22 08:56:08.779,Credit,5000,48,POS,Internet,D,0
2,85,500,1000,500,1,2018-06-22 12:14:28.779,Debit,1000,21,POS,Internet,E,0
53,83,10000,6000,6000,0,2018-06-22 14:14:28.779,Credit,10000,25,POS,Internet,A,1
90,82,3000,1000,1000,0,2018-06-22 15:36:08.779,Debit,1000,41,POS,Internet,D,1
89,4,4000,1000,1000,0,2018-06-22 21:41:08.779,Debit,1000,23,ATM,4,B,0
