CardID,TerminalID,Amount,Balance,Remaining,Validity,Date
7,0,1000,1000,0,1,163803
5,1,10000,1000,1000,0,163803
7,81,100,0,0,0,163803
9,1,100,5000,4900,1,163803
1,0,1000,1000,0,1,163803
3,82,1000,1000,0,1,163803
1,81,10000,0,0,0,163803
4,1,100,1000,900,1,163803
0,81,10000,10000,0,1,163803
3,1,10000,0,0,0,163803
1,82,1000,0,0,0,163803
9,81,10000,4900,4900,0,163803
0,81,1000,0,0,0,163803
2,81,100,1000,900,1,163803
5,1,1000,1000,0,1,163803
1,82,100,0,0,0,163803
4,81,1000,900,900,0,163803
3,81,1000,0,0,0,163803
9,81,100,4900,4800,1,163803
9,0,100,4800,4700,1,163803
4,81,100,900,800,1,163803
9,81,100,4700,4600,1,163803
7,81,1000,0,0,0,163803
2,0,1000,900,900,0,163803
9,1,1000,4600,3600,1,163803
6,81,10000,5000,5000,0,163803
8,0,100,1000,900,1,163803
6,82,100,5000,4900,1,163803
1,82,1000,0,0,0,163803
0,81,1000,0,0,0,163803
2,81,100,900,800,1,163803
5,82,100,0,0,0,163803
8,0,1000,900,900,0,163803
3,1,10000,0,0,0,163803
6,82,10000,4900,4900,0,163803
9,1,100,3600,3500,1,163803
2,81,10000,800,800,0,163803
8,81,1000,900,900,0,163803
5,1,1000,0,0,0,163803
0,1,100,0,0,0,163803
7,82,10000,0,0,0,163803
6,1,1000,4900,3900,1,163803
5,0,100,0,0,0,163803
6,82,100,3900,3800,1,163803
6,0,10000,3800,3800,0,163803
4,0,100,800,700,1,163803
0,1,10000,0,0,0,163803
8,82,100,900,800,1,163803
2,81,100,800,700,1,163803
6,0,1000,3800,2800,1,163803
0,0,10000,0,0,0,163803
0,1,10000,0,0,0,163803
1,0,100,0,0,0,163803
1,82,1000,0,0,0,163803
1,82,100,0,0,0,163803
7,1,10000,0,0,0,163803
0,82,100,0,0,0,163803
4,82,100,700,600,1,163803
4,1,1000,600,600,0,163803
0,82,1000,0,0,0,163803
4,1,1000,600,600,0,163803
4,1,1000,600,600,0,163803
7,82,10000,0,0,0,163803
9,1,1000,3500,2500,1,163803
0,82,100,0,0,0,163803
7,81,100,0,0,0,163803
9,82,100,2500,2400,1,163803
4,81,100,600,500,1,163803
9,82,100,2400,2300,1,163803
7,81,1000,0,0,0,163803
1,1,100,0,0,0,163803
0,81,1000,0,0,0,163803
1,1,100,0,0,0,163803
9,81,1000,2300,1300,1,163803
1,81,100,0,0,0,163803
4,81,1000,500,500,0,163803
2,1,1000,700,700,0,163803
7,81,10000,0,0,0,163803
0,0,1000,0,0,0,163803
7,0,100,0,0,0,163803
0,1,1000,0,0,0,163803
9,0,100,1300,1200,1,163803
0,82,100,0,0,0,163803
9,0,1000,1200,200,1,163803
2,0,100,700,600,1,163803
2,0,10000,600,600,0,163803
6,0,10000,2800,2800,0,163803
6,1,10000,2800,2800,0,163803
6,1,100,2800,2700,1,163803
6,1,1000,2700,1700,1,163803
3,1,10000,0,0,0,163803
8,1,1000,800,800,0,163803
8,82,100,800,700,1,163803
8,1,1000,700,700,0,163803
5,81,100,0,0,0,163803
8,82,10000,700,700,0,163803
5,0,100,0,0,0,163803
5,81,1000,0,0,0,163803
5,82,1000,0,0,0,163803
5,81,1000,0,0,0,163803
