CardID,TerminalID,Amount,Balance,Remaining,Validity,Date
3,81,1000,1000,0,1,2018-06-08 23:57:07.245
3,0,1000,0,0,0,2018-06-08 23:57:15.245
6,82,100,10000,9900,1,2018-06-08 23:57:15.245
7,82,10000,5000,5000,0,2018-06-08 23:57:56.245
0,1,1000,5000,4000,1,2018-06-08 23:57:56.245
6,0,10000,9900,9900,0,2018-06-08 23:58:36.245
3,0,100,0,0,0,2018-06-08 23:58:45.245
0,81,10000,4000,4000,0,2018-06-08 23:59:04.245
5,82,100,5000,4900,1,2018-06-08 23:59:14.245
2,1,1000,20000,19000,1,2018-06-08 23:59:14.245
7,82,1000,5000,4000,1,2018-06-08 23:59:25.245
9,81,100,10000,9900,1,2018-06-08 23:59:25.245
9,0,1000,9900,8900,1,2018-06-08 23:59:45.245
2,0,1000,19000,18000,1,2018-06-08 23:59:54.245
1,1,10000,5000,5000,0,2018-06-09 00:00:14.245
4,0,100,10000,9900,1,2018-06-09 00:00:46.245
8,0,10000,1000,1000,0,2018-06-09 00:00:46.245
9,1,100,8900,8800,1,2018-06-09 00:00:56.245
7,1,10000,4000,4000,0,2018-06-09 00:01:04.245
8,82,1000,1000,0,1,2018-06-09 00:01:04.245
3,0,100,0,0,0,2018-06-09 00:01:15.245
2,1,10000,18000,8000,1,2018-06-09 00:01:15.245
9,1,10000,8800,8800,0,2018-06-09 00:01:25.245
6,81,1000,9900,8900,1,2018-06-09 00:01:37.245
8,82,100,0,0,0,2018-06-09 00:01:46.245
6,1,1000,8900,7900,1,2018-06-09 00:01:46.245
1,82,1000,5000,4000,1,2018-06-09 00:01:55.245
2,81,100,8000,7900,1,2018-06-09 00:02:06.245
2,0,100,7900,7800,1,2018-06-09 00:02:14.245
3,0,100,0,0,0,2018-06-09 00:02:25.245
6,0,100,7900,7800,1,2018-06-09 00:02:35.245
8,0,1000,0,0,0,2018-06-09 00:02:45.245
8,82,10000,0,0,0,2018-06-09 00:02:45.245
4,81,1000,9900,8900,1,2018-06-09 00:02:54.245
4,82,1000,8900,7900,1,2018-06-09 00:02:54.245
5,81,10000,4900,4900,0,2018-06-09 00:02:54.245
6,0,1000,7800,6800,1,2018-06-09 00:03:15.245
0,1,100,4000,3900,1,2018-06-09 00:03:25.245
5,82,1000,4900,3900,1,2018-06-09 00:03:25.245
4,81,1000,7900,6900,1,2018-06-09 00:03:35.245
4,1,100,6900,6800,1,2018-06-09 00:04:05.245
5,82,1000,3900,2900,1,2018-06-09 00:04:05.245
5,81,10000,2900,2900,0,2018-06-09 00:04:05.245
