CardID,TerminalID,Amount,Balance,Remaining,Validity,Date
6,3,1000,5000,4000,1,154113
6,3,10000,4000,4000,0,154113
6,1,10000,4000,4000,0,154113
4,3,10000,10000,0,1,154113
9,2,1000,20000,19000,1,154113
4,3,10000,0,0,0,154113
9,1,10000,19000,9000,1,154113
6,0,100,4000,3900,1,154113
4,1,1000,0,0,0,154113
9,0,1000,9000,8000,1,154113
9,3,10000,8000,8000,0,154113
9,0,10000,8000,8000,0,154113
9,1,100,8000,7900,1,154113
4,0,10000,0,0,0,154113
9,0,100,7900,7800,1,154113
9,1,1000,7800,6800,1,154113
9,1,100,6800,6700,1,154113
6,3,100,3900,3800,1,154113
9,1,1000,6700,5700,1,154113
6,3,1000,3800,2800,1,154113
9,0,10000,5700,5700,0,154113
9,1,100,5700,5600,1,154113
6,0,100,2800,2700,1,154113
6,2,10000,2700,2700,0,154113
6,0,10000,2700,2700,0,154113
9,1,10000,5600,5600,0,154113
2,0,1000,30000,29000,1,154113
9,2,100,5600,5500,1,154113
9,1,10000,5500,5500,0,154113
4,2,1000,0,0,0,154113
4,1,10000,0,0,0,154113
2,1,100,29000,28900,1,154113
4,1,100,0,0,0,154113
1,1,1000,30000,29000,1,154113
7,3,100,10000,9900,1,154113
2,0,10000,28900,18900,1,154113
4,3,10000,0,0,0,154113
1,0,1000,29000,28000,1,154113
1,3,100,28000,27900,1,154113
8,2,1000,5000,4000,1,154113
2,0,10000,18900,8900,1,154113
2,3,10000,8900,8900,0,154113
3,2,100,30000,29900,1,154113
2,0,100,8900,8800,1,154113
5,3,1000,10000,9000,1,154113
5,0,100,9000,8900,1,154113
7,2,100,9900,9800,1,154113
6,0,1000,2700,1700,1,154113
8,3,1000,4000,3000,1,154113
8,3,100,3000,2900,1,154113
7,0,1000,9800,8800,1,154113
7,2,100,8800,8700,1,154113
8,0,1000,2900,1900,1,154113
5,2,1000,8900,7900,1,154113
8,3,1000,1900,900,1,154113
5,2,1000,7900,6900,1,154113
8,3,100,900,800,1,154113
8,0,10000,800,800,0,154113
8,2,100,800,700,1,154113
8,3,100,700,600,1,154113
3,0,1000,29900,28900,1,154113
5,2,1000,6900,5900,1,154113
1,3,100,27900,27800,1,154113
8,0,10000,600,600,0,154113
7,2,10000,8700,8700,0,154113
1,3,1000,27800,26800,1,154113
7,0,10000,8700,8700,0,154113
7,2,1000,8700,7700,1,154113
1,3,100,26800,26700,1,154113
4,1,100,0,0,0,154113
7,2,100,7700,7600,1,154113
7,2,1000,7600,6600,1,154113
7,0,1000,6600,5600,1,154113
8,3,1000,600,600,0,154113
1,1,1000,26700,25700,1,154113
5,3,10000,5900,5900,0,154113
2,1,100,8800,8700,1,154113
7,2,1000,5600,4600,1,154113
3,1,1000,28900,27900,1,154113
7,3,1000,4600,3600,1,154113
7,1,10000,3600,3600,0,154113
7,3,100,3600,3500,1,154113
3,1,10000,27900,17900,1,154113
8,1,100,600,500,1,154113
