CardID,TerminalID,Amount,Balance,Remaining,Validity,Date
6,81,1000,1000,0,1,190237
6,1,100,0,0,0,190237
8,0,100,1000,900,1,190237
6,1,100,0,0,0,190237
6,1,100,0,0,0,190237
6,81,10000,0,0,0,190237
6,1,1000,0,0,0,190237
9,1,100,10000,9900,1,190237
6,0,10000,0,0,0,190237
6,82,100,0,0,0,190237
6,81,10000,0,0,0,190237
9,0,100,9900,9800,1,190237
9,0,10000,9800,9800,0,190237
0,81,100,10000,9900,1,190237
3,0,100,5000,4900,1,190237
0,81,1000,9900,8900,1,190237
0,1,10000,8900,8900,0,190237
1,0,10000,10000,0,1,190237
0,81,1000,8900,7900,1,190237
1,1,1000,0,0,0,190237
1,1,1000,0,0,0,190237
1,81,10000,0,0,0,190237
5,0,10000,1000,1000,0,190237
5,0,100,1000,900,1,190237
7,82,1000,1000,0,1,190237
5,82,100,900,800,1,190237
2,0,1000,1000,0,1,190237
2,0,10000,0,0,0,190237
2,81,100,0,0,0,190237
6,81,1000,0,0,0,190237
1,1,1000,0,0,0,190237
2,81,1000,0,0,0,190237
5,1,10000,800,800,0,190237
5,82,100,800,700,1,190237
2,81,100,0,0,0,190237
2,1,10000,0,0,0,190237
9,81,10000,9800,9800,0,190237
2,0,1000,0,0,0,190237
5,1,10000,700,700,0,190237
4,81,100,1000,900,1,190237
9,0,1000,9800,8800,1,190237
5,1,1000,700,700,0,190237
4,81,100,900,800,1,190237
8,0,10000,900,900,0,190237
0,0,1000,7900,6900,1,190237
0,1,1000,6900,5900,1,190237
8,81,10000,900,900,0,190237
5,0,10000,700,700,0,190237
4,1,10000,800,800,0,190237
8,81,10000,900,900,0,190237
5,0,100,700,600,1,190237
5,82,1000,600,600,0,190237
4,1,1000,800,800,0,190237
0,81,1000,5900,4900,1,190237
5,0,10000,600,600,0,190237
0,81,1000,4900,3900,1,190237
2,82,1000,0,0,0,190237
4,1,1000,800,800,0,190237
6,0,1000,0,0,0,190237
2,81,10000,0,0,0,190237
5,1,1000,600,600,0,190237
9,82,10000,8800,8800,0,190237
9,0,100,8800,8700,1,190237
9,0,100,8700,8600,1,190237
6,81,10000,0,0,0,190237
2,1,100,0,0,0,190237
9,82,100,8600,8500,1,190237
6,0,100,0,0,0,190237
4,81,100,800,700,1,190237
9,82,1000,8500,7500,1,190237
2,1,100,0,0,0,190237
8,82,100,900,800,1,190237
2,81,10000,0,0,0,190237
2,1,100,0,0,0,190237
0,82,10000,3900,3900,0,190237
7,81,100,0,0,0,190237
6,1,10000,0,0,0,190237
3,0,1000,4900,3900,1,190237
3,81,1000,3900,2900,1,190237
0,82,1000,3900,2900,1,190237
4,1,1000,700,700,0,190237
3,0,100,2900,2800,1,190237
5,82,100,600,500,1,190237
7,1,100,0,0,0,190237
0,82,1000,2900,1900,1,190237
1,0,100,0,0,0,190237
2,82,10000,0,0,0,190237
6,82,1000,0,0,0,190237
1,0,100,0,0,0,190237
1,81,100,0,0,0,190237
6,82,100,0,0,0,190237
1,1,1000,0,0,0,190237
9,82,10000,7500,7500,0,190237
1,1,10000,0,0,0,190237
2,82,10000,0,0,0,190237
7,82,10000,0,0,0,190237
7,82,10000,0,0,0,190237
3,82,10000,2800,2800,0,190237
1,82,1000,0,0,0,190237
1,82,1000,0,0,0,190237
